"trip_id","starttime","stoptime","bikeid","tripduration","from_station_name","to_station_name","from_station_id","to_station_id","usertype","gender","birthyear"
1376,"2014-10-14 18:22:00","2014-10-14 18:30:00","SEA00468","516.703","15th Ave E & E Thomas St","Frye Art Museum / Terry Ave & Columbia St","CH-05","FH-01","Annual Member","Male",1982
116958,"2015-07-27 11:33:00","2015-07-27 12:41:00","SEA00484","4091.79","3rd Ave & Broad St","Lake Union Park / Valley St & Boren Ave N","BT-01","SLU-17","Short-Term Pass Holder","",""
108935,"2015-07-14 16:02:00","2015-07-14 16:29:00","SEA00032","1633.804","Pier 69 / Alaskan Way & Clay St","Occidental Park / Occidental Ave S & S Washington St","WF-01","PS-04","Short-Term Pass Holder","",""
61443,"2015-04-20 14:35:00","2015-04-20 15:02:00","SEA00462","1585.563","3rd Ave & Broad St","Pier 69 / Alaskan Way & Clay St","BT-01","WF-01","Short-Term Pass Holder","",""
58357,"2015-04-16 09:59:00","2015-04-16 10:02:00","SEA00400","210.328","Pine St & 9th Ave","PATH / 9th Ave & Westlake Ave","SLU-16","SLU-07","Annual Member","Male",1987
56197,"2015-04-09 16:13:00","2015-04-09 16:23:00","SEA00248","595.729","Pine St & 9th Ave","Summit Ave E & E Republican St","SLU-16","CH-03","Annual Member","Male",1984
52498,"2015-03-30 21:44:00","2015-03-30 21:48:00","SEA00198","240.994","E Harrison St & Broadway Ave E","Harvard Ave & E Pine St","CH-02","CH-09","Annual Member","Male",1987
19736,"2014-12-07 14:38:00","2014-12-07 14:52:00","SEA00142","888.679","6th Ave S & S King St","2nd Ave & Spring St","ID-04","CBD-06","Short-Term Pass Holder","",""
84549,"2015-06-04 12:29:00","2015-06-04 12:37:00","SEA00267","470.149","7th Ave & Union St","2nd Ave & Pine St","CBD-03","CBD-13","Short-Term Pass Holder","",""
32887,"2015-01-30 08:58:00","2015-01-30 09:13:00","SEA00267","890.145","Summit Ave E & E Republican St","1st Ave & Marion St","CH-03","CBD-05","Annual Member","Male",1990
73425,"2015-05-14 18:21:00","2015-05-14 18:39:00","SEA00486","1044.339","Bellevue Ave & E Pine St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","CH-12","PS-05","Annual Member","Female",1964
67635,"2015-05-03 11:58:00","2015-05-03 12:02:00","SEA00221","230.887","2nd Ave & Vine St","PATH / 9th Ave & Westlake Ave","BT-03","SLU-07","Annual Member","Male",1981
85821,"2015-06-06 15:03:00","2015-06-06 15:20:00","SEA00410","1024.736","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","2nd Ave & Pine St","WF-04","CBD-13","Short-Term Pass Holder","",""
91203,"2015-06-15 15:05:00","2015-06-15 15:15:00","SEA00239","561.071","12th Ave & NE Campus Pkwy","Eastlake Ave E & E Allison St","UD-04","EL-05","Short-Term Pass Holder","",""
9032,"2014-11-02 17:12:00","2014-11-02 17:14:00","SEA00395","158.117","E Pine St & 16th Ave","15th Ave E & E Thomas St","CH-07","CH-05","Annual Member","Male",1972
80479,"2015-05-28 07:52:00","2015-05-28 08:06:00","SEA00320","823.189","Key Arena / 1st Ave N & Harrison St","Occidental Park / Occidental Ave S & S Washington St","SLU-19","PS-04","Annual Member","Male",1977
102794,"2015-07-05 11:17:00","2015-07-05 11:32:00","SEA00275","944.26","Dexter Ave N & Aloha St","Westlake Ave & 6th Ave","SLU-02","SLU-15","Short-Term Pass Holder","",""
69083,"2015-05-06 18:05:00","2015-05-06 18:16:00","SEA00025","680.792","Key Arena / 1st Ave N & Harrison St","1st Ave & Marion St","SLU-19","CBD-05","Annual Member","Male",1981
71453,"2015-05-10 12:51:00","2015-05-10 13:28:00","SEA00383","2248.204","Bellevue Ave & E Pine St","9th Ave N & Mercer St","CH-12","DPD-01","Annual Member","Female",1964
146539,"2015-09-19 12:11:00","2015-09-19 12:17:00","SEA00202","335.76","Union St & 4th Ave","Westlake Ave & 6th Ave","CBD-04","SLU-15","Short-Term Pass Holder","",""
19923,"2014-12-08 10:37:00","2014-12-08 10:49:00","SEA00242","734.951","Key Arena / 1st Ave N & Harrison St","2nd Ave & Spring St","SLU-19","CBD-06","Annual Member","Male",1952
67470,"2015-05-02 19:28:00","2015-05-02 19:34:00","SEA00295","366.62","Pier 69 / Alaskan Way & Clay St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","WF-01","WF-04","Short-Term Pass Holder","",""
25299,"2015-01-02 08:18:00","2015-01-02 08:25:00","SEA00171","411.624","7th Ave & Union St","Occidental Park / Occidental Ave S & S Washington St","CBD-03","PS-04","Annual Member","Male",1974
121593,"2015-08-03 13:34:00","2015-08-03 13:53:00","SEA00041","1147.499","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","Occidental Park / Occidental Ave S & S Washington St","WF-04","PS-04","Short-Term Pass Holder","",""
11983,"2014-11-10 09:27:00","2014-11-10 09:36:00","SEA00139","555.616","UW Intramural Activities Building","15th Ave NE & NE 40th St","UW-07","UW-04","Annual Member","Female",1983
142153,"2015-09-10 07:10:00","2015-09-10 07:21:00","SEA00107","678.761","E Pine St & 16th Ave","City Hall / 4th Ave & James St","CH-07","CBD-07","Annual Member","Male",1983
52780,"2015-03-31 19:51:00","2015-03-31 19:57:00","SEA00248","354.87","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","WF-04","WF-04","Short-Term Pass Holder","",""
154285,"2015-10-05 17:26:00","2015-10-05 17:43:00","SEA00265","1013.525","E Blaine St & Fairview Ave E","Westlake Ave & 6th Ave","EL-03","SLU-15","Annual Member","Male",1978
63760,"2015-04-24 16:41:00","2015-04-24 16:56:00","SEA00407","940.192","2nd Ave & Blanchard St","Summit Ave E & E Republican St","BT-05","CH-03","Annual Member","Female",1966
78536,"2015-05-24 14:17:00","2015-05-24 14:22:00","SEA00321","280.559","Pine St & 9th Ave","2nd Ave & Pine St","SLU-16","CBD-13","Annual Member","Male",1987
138672,"2015-09-02 13:48:00","2015-09-02 13:52:00","SEA00349","228.638","City Hall / 4th Ave & James St","Union St & 4th Ave","CBD-07","CBD-04","Annual Member","Male",1970
83491,"2015-06-02 10:09:00","2015-06-02 10:12:00","SEA00154","164.063","Dexter Ave N & Aloha St","9th Ave N & Mercer St","SLU-02","DPD-01","Annual Member","Male",1971
47591,"2015-03-17 09:06:00","2015-03-17 09:16:00","SEA00404","567.04","Westlake Ave & 6th Ave","Pier 69 / Alaskan Way & Clay St","SLU-15","WF-01","Annual Member","Male",1981
16622,"2014-11-23 19:21:00","2014-11-23 19:40:00","SEA00059","1169.511","Key Arena / 1st Ave N & Harrison St","Bellevue Ave & E Pine St","SLU-19","CH-12","Short-Term Pass Holder","",""
120985,"2015-08-02 13:32:00","2015-08-02 13:52:00","SEA00303","1163.056","2nd Ave & Spring St","2nd Ave & Pine St","CBD-06","CBD-13","Short-Term Pass Holder","",""
151547,"2015-09-29 20:27:00","2015-09-29 20:33:00","SEA00179","356.91","Cal Anderson Park / 11th Ave & Pine St","Seattle University / E Columbia St & 12th Ave","CH-08","FH-04","Annual Member","Male",1978
60063,"2015-04-18 18:43:00","2015-04-18 20:13:00","SEA00058","5420.102","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","3rd Ave & Broad St","WF-04","BT-01","Short-Term Pass Holder","",""
18353,"2014-12-02 06:56:00","2014-12-02 07:00:00","SEA00140","287.196","2nd Ave & Vine St","Westlake Ave & 6th Ave","BT-03","SLU-15","Annual Member","Male",1979
32731,"2015-01-29 17:16:00","2015-01-29 17:31:00","SEA00114","882.166","Pier 69 / Alaskan Way & Clay St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","WF-01","PS-05","Annual Member","Other",1980
46623,"2015-03-13 11:40:00","2015-03-13 11:45:00","SEA00204","310.589","2nd Ave & Vine St","6th Ave & Blanchard St","BT-03","BT-04","Annual Member","Female",1982
17599,"2014-11-27 22:30:00","2014-11-27 22:37:00","SEA00101","426.068","12th Ave & E Mercer St","Harvard Ave & E Pine St","CH-15","CH-09","Short-Term Pass Holder","",""
5319,"2014-10-24 07:34:00","2014-10-24 07:38:00","SEA00077","256.872","2nd Ave & Pine St","2nd Ave & Pine St","CBD-13","CBD-13","Short-Term Pass Holder","",""
77318,"2015-05-22 00:20:00","2015-05-22 01:43:00","SEA00485","5005.644","Burke Museum / E Stevens Way NE & Memorial Way NE","Burke Museum / E Stevens Way NE & Memorial Way NE","UW-02","UW-02","Short-Term Pass Holder","",""
131820,"2015-08-19 19:27:00","2015-08-19 19:42:00","SEA00135","888.977","E Harrison St & Broadway Ave E","12th Ave & E Yesler Way","CH-02","CD-01","Annual Member","Female",1982
20835,"2014-12-12 09:01:00","2014-12-12 09:07:00","SEA00308","373.59","Dexter Ave & Denny Way","Republican St & Westlake Ave N","SLU-18","SLU-04","Annual Member","Female",1951
132630,"2015-08-21 11:33:00","2015-08-21 12:02:00","SEA00145","1748.062","Westlake Ave & 6th Ave","3rd Ave & Broad St","SLU-15","BT-01","Short-Term Pass Holder","",""
44855,"2015-03-08 17:32:00","2015-03-08 18:04:00","SEA00219","1938.988","E Harrison St & Broadway Ave E","Key Arena / 1st Ave N & Harrison St","CH-02","SLU-19","Short-Term Pass Holder","",""
10538,"2014-11-07 08:23:00","2014-11-07 08:51:00","SEA00499","1681.219","E Harrison St & Broadway Ave E","Frye Art Museum / Terry Ave & Columbia St","CH-02","FH-01","Short-Term Pass Holder","",""
65180,"2015-04-27 17:38:00","2015-04-27 17:51:00","SEA00104","799.648","Dexter Ave N & Aloha St","1st Ave & Marion St","SLU-02","CBD-05","Short-Term Pass Holder","",""
17676,"2014-11-28 23:50:00","2014-11-29 00:03:00","SEA00327","794.926","2nd Ave & Pine St","Key Arena / 1st Ave N & Harrison St","CBD-13","SLU-19","Short-Term Pass Holder","",""
121447,"2015-08-03 09:26:00","2015-08-03 09:32:00","SEA00252","353.705","Pier 69 / Alaskan Way & Clay St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","WF-01","WF-04","Annual Member","Female",1982
124873,"2015-08-08 14:18:00","2015-08-08 14:31:00","SEA00374","755.39","Bellevue Ave & E Pine St","Union St & 4th Ave","CH-12","CBD-04","Annual Member","Male",1968
47368,"2015-03-16 14:31:00","2015-03-16 16:13:00","SEA00144","6135.735","Pier 69 / Alaskan Way & Clay St","Pine St & 9th Ave","WF-01","SLU-16","Short-Term Pass Holder","",""
80616,"2015-05-28 11:16:00","2015-05-28 15:26:00","SEA00272","14967.071","12th Ave & E Mercer St","1st Ave & Marion St","CH-15","CBD-05","Short-Term Pass Holder","",""
144531,"2015-09-14 18:19:00","2015-09-14 18:30:00","SEA00277","655.289","2nd Ave & Pine St","3rd Ave & Broad St","CBD-13","BT-01","Short-Term Pass Holder","",""
93682,"2015-06-19 15:14:00","2015-06-19 15:22:00","SEA00058","488.7","Terry Ave & Stewart St","Bellevue Ave & E Pine St","SLU-20","CH-12","Short-Term Pass Holder","",""
48276,"2015-03-19 08:04:00","2015-03-19 08:13:00","SEA00463","555.732","Dexter Ave & Denny Way","7th Ave & Union St","SLU-18","CBD-03","Short-Term Pass Holder","",""
136339,"2015-08-27 16:26:00","2015-08-27 16:38:00","SEA00485","765.185","3rd Ave & Broad St","Pine St & 9th Ave","BT-01","SLU-16","Annual Member","Female",1952
29610,"2015-01-20 09:04:00","2015-01-20 09:09:00","SEA00059","298.27","2nd Ave & Vine St","PATH / 9th Ave & Westlake Ave","BT-03","SLU-07","Annual Member","Male",1987
125223,"2015-08-08 23:28:00","2015-08-08 23:41:00","SEA00030","768.924","2nd Ave & Spring St","3rd Ave & Broad St","CBD-06","BT-01","Annual Member","Female",1991
115418,"2015-07-24 12:39:00","2015-07-24 12:57:00","SEA00266","1059.743","Cal Anderson Park / 11th Ave & Pine St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","CH-08","PS-05","Annual Member","Male",1963
138647,"2015-09-02 12:21:00","2015-09-02 13:01:00","SEA00445","2380.879","Pier 69 / Alaskan Way & Clay St","Pier 69 / Alaskan Way & Clay St","WF-01","WF-01","Short-Term Pass Holder","",""
107440,"2015-07-12 14:13:00","2015-07-12 14:28:00","SEA00399","873.729","12th Ave & E Mercer St","Pine St & 9th Ave","CH-15","SLU-16","Short-Term Pass Holder","",""
66325,"2015-04-30 17:11:00","2015-04-30 17:27:00","SEA00282","966.819","Dexter Ave N & Aloha St","2nd Ave & Pine St","SLU-02","CBD-13","Annual Member","Male",1964
52279,"2015-03-30 13:22:00","2015-03-30 13:39:00","SEA00033","1033.946","6th Ave & Blanchard St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","BT-04","PS-05","Annual Member","Male",1967
26341,"2015-01-07 14:07:00","2015-01-07 14:09:00","SEA00069","128.148","Summit Ave E & E Republican St","Summit Ave & E Denny Way","CH-03","CH-01","Annual Member","Female",1989
136093,"2015-08-27 10:12:00","2015-08-27 10:18:00","SEA00180","350.591","E Pine St & 16th Ave","7th Ave & Union St","CH-07","CBD-03","Annual Member","Male",1970
35303,"2015-02-09 17:49:00","2015-02-09 18:01:00","SEA00132","697.81","Dexter Ave & Denny Way","Key Arena / 1st Ave N & Harrison St","SLU-18","SLU-19","Annual Member","Male",1981
16750,"2014-11-24 10:23:00","2014-11-24 10:37:00","SEA00330","875.767","PATH / 9th Ave & Westlake Ave","2nd Ave & Pine St","SLU-07","CBD-13","Short-Term Pass Holder","",""
105876,"2015-07-09 20:16:00","2015-07-09 20:19:00","SEA00463","187.498","E Pine St & 16th Ave","15th Ave E & E Thomas St","CH-07","CH-05","Annual Member","Male",1993
1396,"2014-10-14 18:54:00","2014-10-14 18:59:00","SEA00472","296.816","E Pine St & 16th Ave","E Harrison St & Broadway Ave E","CH-07","CH-02","Short-Term Pass Holder","",""
105134,"2015-07-08 18:37:00","2015-07-08 18:47:00","SEA00038","646.778","REI / Yale Ave N & John St","3rd Ave & Broad St","SLU-01","BT-01","Short-Term Pass Holder","",""
35180,"2015-02-09 11:35:00","2015-02-09 11:52:00","SEA00266","990.001","Occidental Park / Occidental Ave S & S Washington St","Republican St & Westlake Ave N","PS-04","SLU-04","Annual Member","Male",1987
109915,"2015-07-16 06:23:00","2015-07-16 06:39:00","SEA00285","960.365","Key Arena / 1st Ave N & Harrison St","2nd Ave & Spring St","SLU-19","CBD-06","Annual Member","Female",1981
82528,"2015-05-31 11:08:00","2015-05-31 11:30:00","SEA00447","1289.3","Westlake Ave & 6th Ave","Pier 69 / Alaskan Way & Clay St","SLU-15","WF-01","Short-Term Pass Holder","",""
44472,"2015-03-07 19:31:00","2015-03-07 19:49:00","SEA00242","1107.125","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","WF-04","WF-04","Short-Term Pass Holder","",""
151042,"2015-09-29 07:34:00","2015-09-29 07:40:00","SEA00058","372.765","Dexter Ave N & Aloha St","PATH / 9th Ave & Westlake Ave","SLU-02","SLU-07","Annual Member","Male",1967
82932,"2015-05-31 19:01:00","2015-05-31 19:19:00","SEA00275","1051.037","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","Pier 69 / Alaskan Way & Clay St","PS-05","WF-01","Short-Term Pass Holder","",""
25364,"2015-01-02 14:40:00","2015-01-02 14:56:00","SEA00383","967.627","Republican St & Westlake Ave N","2nd Ave & Pine St","SLU-04","CBD-13","Short-Term Pass Holder","",""
83317,"2015-06-01 20:21:00","2015-06-01 20:26:00","SEA00206","321.669","Burke Museum / E Stevens Way NE & Memorial Way NE","15th Ave NE & NE 40th St","UW-02","UW-04","Short-Term Pass Holder","",""
17857,"2014-11-30 10:02:00","2014-11-30 10:17:00","SEA00389","897.753","Westlake Ave & 6th Ave","Dexter Ave N & Aloha St","SLU-15","SLU-02","Annual Member","Male",1985
29267,"2015-01-19 09:36:00","2015-01-19 10:03:00","SEA00178","1672.405","Pier 69 / Alaskan Way & Clay St","Pier 69 / Alaskan Way & Clay St","WF-01","WF-01","Short-Term Pass Holder","",""
81926,"2015-05-30 12:11:00","2015-05-30 12:21:00","SEA00392","553.731","Dexter Ave N & Aloha St","E Blaine St & Fairview Ave E","SLU-02","EL-03","Annual Member","Male",1967
117946,"2015-07-28 18:52:00","2015-07-28 19:05:00","SEA00401","775.342","Bellevue Ave & E Pine St","15th Ave E & E Thomas St","CH-12","CH-05","Annual Member","Male",1983
835,"2014-10-13 18:31:00","2014-10-13 18:46:00","SEA00213","908.417","Key Arena / 1st Ave N & Harrison St","Pier 69 / Alaskan Way & Clay St","SLU-19","WF-01","Short-Term Pass Holder","",""
92471,"2015-06-17 15:48:00","2015-06-17 15:51:00","SEA00118","211.227","9th Ave N & Mercer St","PATH / 9th Ave & Westlake Ave","DPD-01","SLU-07","Annual Member","Male",1981
6246,"2014-10-26 16:28:00","2014-10-26 16:54:00","SEA00167","1515.605","Lake Union Park / Valley St & Boren Ave N","2nd Ave & Pine St","SLU-17","CBD-13","Short-Term Pass Holder","",""
38257,"2015-02-17 13:35:00","2015-02-17 13:40:00","SEA00462","274.64","REI / Yale Ave N & John St","REI / Yale Ave N & John St","SLU-01","SLU-01","Annual Member","Male",1984
145164,"2015-09-16 08:35:00","2015-09-16 08:42:00","SEA00115","451.253","15th Ave E & E Thomas St","Seattle University / E Columbia St & 12th Ave","CH-05","FH-04","Annual Member","Female",1979
99987,"2015-07-01 07:16:00","2015-07-01 07:24:00","SEA00189","426.36","15th Ave E & E Thomas St","Pine St & 9th Ave","CH-05","SLU-16","Annual Member","Female",1985
36797,"2015-02-13 18:16:00","2015-02-13 18:22:00","SEA00085","365.728","Dexter Ave & Denny Way","2nd Ave & Vine St","SLU-18","BT-03","Annual Member","Male",1987
73036,"2015-05-14 05:44:00","2015-05-14 05:54:00","SEA00186","615.863","E Pine St & 16th Ave","2nd Ave & Pine St","CH-07","CBD-13","Annual Member","Male",1964
5022,"2014-10-23 11:06:00","2014-10-23 11:55:00","SEA00390","2932.784","NE 47th St & 12th Ave NE","15th Ave E & E Thomas St","UD-07","CH-05","Short-Term Pass Holder","",""
72660,"2015-05-12 19:48:00","2015-05-12 19:57:00","SEA00250","545.319","7th Ave & Union St","Summit Ave E & E Republican St","CBD-03","CH-03","Annual Member","Male",1976
33842,"2015-02-03 09:02:00","2015-02-03 09:19:00","SEA00274","1014.189","Key Arena / 1st Ave N & Harrison St","1st Ave & Marion St","SLU-19","CBD-05","Annual Member","Female",1984
8263,"2014-11-01 13:33:00","2014-11-01 13:47:00","SEA00244","834.53","2nd Ave & Vine St","Occidental Park / Occidental Ave S & S Washington St","BT-03","PS-04","Annual Member","Female",1982
134389,"2015-08-24 12:30:00","2015-08-24 12:54:00","SEA00131","1456.592","Dexter Ave & Denny Way","15th Ave E & E Thomas St","SLU-18","CH-05","Short-Term Pass Holder","",""
93618,"2015-06-19 13:36:00","2015-06-19 13:53:00","SEA00491","1017.754","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","3rd Ave & Broad St","WF-04","BT-01","Short-Term Pass Holder","",""
50925,"2015-03-26 19:17:00","2015-03-26 19:26:00","SEA00405","564.612","2nd Ave & Pine St","Summit Ave & E Denny Way","CBD-13","CH-01","Annual Member","Male",1988
80858,"2015-05-28 16:28:00","2015-05-28 16:36:00","SEA00375","507.8","Republican St & Westlake Ave N","Westlake Ave & 6th Ave","SLU-04","SLU-15","Annual Member","Male",1972
154229,"2015-10-05 16:14:00","2015-10-05 16:22:00","SEA00212","475.214","12th Ave & E Yesler Way","6th Ave S & S King St","CD-01","ID-04","Short-Term Pass Holder","",""
17658,"2014-11-28 19:24:00","2014-11-28 19:26:00","SEA00265","138.928","E Pine St & 16th Ave","Cal Anderson Park / 11th Ave & Pine St","CH-07","CH-08","Annual Member","Other",1978
122122,"2015-08-04 09:21:00","2015-08-04 09:31:00","SEA00023","615.336","E Pine St & 16th Ave","Westlake Ave & 6th Ave","CH-07","SLU-15","Annual Member","Female",1985
145926,"2015-09-18 07:39:00","2015-09-18 07:46:00","SEA00329","421.269","Key Arena / 1st Ave N & Harrison St","9th Ave N & Mercer St","SLU-19","DPD-01","Annual Member","Male",1977
48464,"2015-03-19 15:41:00","2015-03-19 15:48:00","SEA00187","430.948","9th Ave N & Mercer St","E Blaine St & Fairview Ave E","DPD-01","EL-03","Annual Member","Male",1967
69440,"2015-05-07 13:38:00","2015-05-07 13:51:00","SEA00473","783.411","Occidental Park / Occidental Ave S & S Washington St","Pier 69 / Alaskan Way & Clay St","PS-04","WF-01","Short-Term Pass Holder","",""
74607,"2015-05-17 09:24:00","2015-05-17 09:43:00","SEA00168","1098.047","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","3rd Ave & Broad St","WF-04","BT-01","Short-Term Pass Holder","",""
133730,"2015-08-23 10:18:00","2015-08-23 10:24:00","SEA00155","380.502","REI / Yale Ave N & John St","Lake Union Park / Valley St & Boren Ave N","SLU-01","SLU-17","Annual Member","Male",1951
78098,"2015-05-23 15:25:00","2015-05-23 16:21:00","SEA00392","3331.821","REI / Yale Ave N & John St","3rd Ave & Broad St","SLU-01","BT-01","Short-Term Pass Holder","",""
48805,"2015-03-20 12:11:00","2015-03-20 12:50:00","SEA00196","2362.554","9th Ave N & Mercer St","9th Ave N & Mercer St","DPD-01","DPD-01","Annual Member","Male",1987
25465,"2015-01-03 10:39:00","2015-01-03 10:55:00","SEA00086","977.847","REI / Yale Ave N & John St","Eastlake Ave E & E Allison St","SLU-01","EL-05","Short-Term Pass Holder","",""
147596,"2015-09-21 20:24:00","2015-09-21 20:30:00","SEA00089","369.88","Seattle University / E Columbia St & 12th Ave","Cal Anderson Park / 11th Ave & Pine St","FH-04","CH-08","Annual Member","Male",1978
146198,"2015-09-18 15:56:00","2015-09-18 16:16:00","SEA00027","1232.974","Cal Anderson Park / 11th Ave & Pine St","2nd Ave & Pine St","CH-08","CBD-13","Short-Term Pass Holder","",""
154557,"2015-10-06 10:13:00","2015-10-06 10:20:00","SEA00064","451.471","Summit Ave & E Denny Way","Union St & 4th Ave","CH-01","CBD-04","Annual Member","Male",1984
71877,"2015-05-11 08:38:00","2015-05-11 08:42:00","SEA00462","274.559","E Harrison St & Broadway Ave E","Pine St & 9th Ave","CH-02","SLU-16","Annual Member","Male",1979
154466,"2015-10-06 08:20:00","2015-10-06 08:28:00","SEA00338","483.69","3rd Ave & Broad St","Terry Ave & Stewart St","BT-01","SLU-20","Annual Member","Male",1983
151230,"2015-09-29 11:15:00","2015-09-29 11:33:00","SEA00399","1090.934","E Pine St & 16th Ave","2nd Ave & Pine St","CH-07","CBD-13","Annual Member","Male",1987
139411,"2015-09-03 22:34:00","2015-09-03 22:54:00","SEA00206","1193.052","3rd Ave & Broad St","Dexter Ave & Denny Way","BT-01","SLU-18","Short-Term Pass Holder","",""
68203,"2015-05-04 12:40:00","2015-05-04 12:44:00","SEA00353","263.538","12th Ave & E Denny Way","Harvard Ave & E Pine St","CH-06","CH-09","Annual Member","Male",1987
124820,"2015-08-08 13:20:00","2015-08-08 14:45:00","SEA00136","5061.423","Children's Hospital / Sandpoint Way NE & 40th Ave NE","Children's Hospital / Sandpoint Way NE & 40th Ave NE","DPD-03","DPD-03","Short-Term Pass Holder","",""
100759,"2015-07-02 12:35:00","2015-07-02 12:48:00","SEA00391","777.054","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","WF-04","WF-04","Short-Term Pass Holder","",""
9665,"2014-11-04 16:27:00","2014-11-04 16:36:00","SEA00122","530.819","15th Ave E & E Thomas St","E Harrison St & Broadway Ave E","CH-05","CH-02","Annual Member","Male",1985
26830,"2015-01-08 18:54:00","2015-01-08 19:09:00","SEA00272","904.558","Frye Art Museum / Terry Ave & Columbia St","15th Ave E & E Thomas St","FH-01","CH-05","Annual Member","Male",1982
83996,"2015-06-03 11:43:00","2015-06-03 12:25:00","SEA00060","2479.689","Lake Union Park / Valley St & Boren Ave N","Frye Art Museum / Terry Ave & Columbia St","SLU-17","FH-01","Short-Term Pass Holder","",""
78304,"2015-05-23 20:46:00","2015-05-23 20:55:00","SEA00335","574.985","E Pine St & 16th Ave","Cal Anderson Park / 11th Ave & Pine St","CH-07","CH-08","Short-Term Pass Holder","",""
31959,"2015-01-27 17:06:00","2015-01-27 17:13:00","SEA00038","439.917","Republican St & Westlake Ave N","Westlake Ave & 6th Ave","SLU-04","SLU-15","Annual Member","Male",1978
